,id,title,artist,album,release date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,owner
70,0FJL3Dwu8oUpwDb80qNdvP,Always with Me,Yumi Kimura,Spirited Away Soundtrack,2001-07-18,215427,53,0.438,0.0438,5,-19.577,1,0.0529,0.993,0,0.0842,0.686,144.196,4,my boyfriend
71,7k5EcszNwUturoU20TTy1G,Shooting Star,Owl City,The Midsummer Station,2012-01-01,247347,56,0.514,0.873,0,-4.939,1,0.0528,0.0124,0,0.112,0.459,124.018,4,my boyfriend
72,2RycgtfFQZOPgEGrzBGE0j,Getsomerest/sleepwell,"quickly, quickly","Quickly Quickly, Vol. 1",2017-04-16,332173,66,0.637,0.394,7,-13.536,1,0.286,0.605,0.305,0.0968,0.361,132.015,4,my boyfriend
73,3bWLBVZz9Vur3OLy05SpfF,Verge,Owl City,Mobile Orchestra,2015-07-10,213027,57,0.546,0.744,2,-6.892,1,0.0333,0.000181,1.17E-06,0.114,0.206,127.977,4,my boyfriend
74,2XpV9sHBexcNrz0Gyf3l18,Blue Bird,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,2006,215707,74,0.536,0.966,6,-2.93,0,0.0557,0.12,0,0.0477,0.85,152.078,4,my boyfriend
75,6vysCzjEwFF4flCw3d6DeO,Unbelievable,Owl City,Mobile Orchestra,2015-07-10,193493,52,0.769,0.611,8,-5.674,1,0.0422,0.00363,0,0.246,0.753,118.02,4,my boyfriend
76,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,158040,86,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,4,my boyfriend
77,4Uy3kNxW2kB8AEoXljEcth,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,174893,66,0.766,0.881,9,-5.158,0,0.137,0.0166,2.30E-06,0.347,0.674,112.027,5,my boyfriend
78,7cFFhb9Wz2ZXLSpEk2VDKd,Way Up,Jaden,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,153773,64,0.585,0.941,10,-3.278,0,0.145,0.03,8.41E-06,0.196,0.45,130.024,4,my boyfriend
79,5eHmOGj5szF3Pm9fHWVwuq,モラトリアム,Omoinotake,モラトリアム,2020-01-31,287385,53,0.564,0.688,5,-3.806,1,0.0551,0.255,0,0.322,0.457,156.082,4,my boyfriend
